iso_code,continent,location,population,total_cases,total_deaths,people_fully_vaccinated,mortality_rate,vaccination_rate
CHE,Europe,Switzerland,8740471,4375085,13865,0,0.32,0.0
SYR,Asia,Syria,22125242,57423,3163,0,5.51,0.0
TWN,Asia,Taiwan,23893396,0,0,0,,0.0
TJK,Asia,Tajikistan,9952789,17786,125,0,0.7,0.0
TZA,Africa,Tanzania,65497752,42351,845,0,2.0,0.0
THA,Asia,Thailand,71697024,4721808,33594,0,0.71,0.0
TLS,Asia,East Timor,1341298,0,0,790466,,58.93
TGO,Africa,Togo,8848700,39341,290,0,0.74,0.0
TKL,Oceania,Tokelau,1893,5,0,0,0.0,0.0
TON,Oceania,Tonga,106867,16412,12,0,0.07,0.0
TTO,North America,Trinidad and Tobago,1531043,185882,4277,0,2.3,0.0
TUN,Africa,Tunisia,12356116,1147477,29279,0,2.55,0.0
TUR,Asia,Turkey,85341248,17004677,101419,0,0.6,0.0
TKM,Asia,Turkmenistan,6430777,0,0,0,,0.0
TCA,North America,Turks and Caicos Islands,45726,6479,36,0,0.56,0.0
TUV,Oceania,Tuvalu,11335,2779,0,0,0.0,0.0
UGA,Africa,Uganda,47249588,169890,3630,0,2.14,0.0
UKR,Europe,Ukraine,39701744,5315676,108249,0,2.04,0.0
ARE,Asia,United Arab Emirates,9441138,1046549,2348,0,0.22,0.0
GBR,Europe,United Kingdom,67508936,24159037,215345,0,0.89,0.0
USA,North America,United States,338289856,99019493,1079976,229580638,1.09,67.87
VIR,North America,United States Virgin Islands,99479,23734,127,0,0.54,0.0
URY,South America,Uruguay,3422796,1011988,7562,0,0.75,0.0
UZB,Asia,Uzbekistan,34627648,167292,1016,0,0.61,0.0
VUT,Oceania,Vanuatu,326744,12013,14,0,0.12,0.0
VAT,Europe,Vatican,808,26,0,0,0.0,0.0
VEN,South America,Venezuela,28301700,549844,5830,0,1.06,0.0
VNM,Asia,Vietnam,98186856,11524202,43184,0,0.37,0.0
OWID_WLS,Europe,Wales,3170000,0,0,2471750,,77.97
WLF,Oceania,Wallis and Futuna,11596,3415,7,0,0.2,0.0
YEM,Asia,Yemen,33696612,11945,2159,0,18.07,0.0
ZMB,Africa,Zambia,20017670,334066,4022,0,1.2,0.0
ZWE,Africa,Zimbabwe,16320539,259944,5635,0,2.17,0.0
